Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0104000314,040059,HOSPITAL VIRGEN DEL MAR,Andalucía,Almería,Almería,CARRETERA DEL MAMI KM 1,04120,950217167,76,Hospitales Generales,Privados,,Sin concierto,NO
0104000316,040010,HOSPITAL UNIVERSITARIO TORRECARDENAS,Andalucía,Almería,Almería,CALLE PARAJE TORRECARDENAS S/N,04009,950016114,779,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0104000320,040084,HOSPITAL LA INMACULADA,Andalucía,Almería,Huércal-Overa,AVENIDA DOCTORA ANA PARRA S/N,04600,950029176,184,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0104000321,040118,HOSPITAL UNIVERSITARIO DE PONIENTE,Andalucía,Almería,"Ejido, El",CARRETERA ALMERIMAR S/N,04700,950022500,281,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0104000322,040101,HOSPITAL MEDITERRANEO,Andalucía,Almería,Almería,CALLE NUEVA MUSA 8,04007,950621063,83,Hospitales Generales,Privados,,Concierto parcial,NO
0104001001,040127,HOSPITAL DE ALTA RESOLUCION ELTOYO,Andalucía,Almería,Almería,CAMINO DE LA BOTICA S/N,04131,950158015,44,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0104002838,040138,HOSPITAL MATERNO INFANTIL,Andalucía,Almería,Almería,CALLE DONANTES DE SANGRE S/N,04700,000000000,204,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111000283,110162,HOSPITAL GENERAL SANTA MARIA DEL PUERTO,Andalucía,Cádiz,"Puerto de Santa María, El",CALLE VALDES S/N,11500,956017000,238,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000284,110125,HOSPITAL SAN  JUAN GRANDE,Andalucía,Cádiz,Jerez de la Frontera,GLORIETA DOCTOR FELIX RODRIGUEZ DE LA FUENTE S/N,11408,956357300,143,Hospitales Generales,Privados,,Concierto parcial,NO
0111000285,110051,HOSPITAL SAN RAFAEL,Andalucía,Cádiz,Cádiz,CALLE DIEGO ARIAS 2,11002,956017267,280,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000286,110259,HOSPITAL PUNTA DE EUROPA,Andalucía,Cádiz,Algeciras,CARRETERA GETARES S/N,11207,956025000,270,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0111000289,110327,HOSPITAL UNIVERSITARIO PUERTA DEL MAR,Andalucía,Cádiz,Cádiz,AVENIDA ANA DE VIYA 21,11009,956002040,674,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111000290,110110,HOSPITAL UNIVERSITARIO DE JEREZ DE LA FRONTERA,Andalucía,Cádiz,Jerez de la Frontera,CARRETERA RONDA CIRCUNVALACION S/N,11408,956032075,484,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0111000291,110184,HOSPITAL UNIVERSITARIO DE PUERTO REAL,Andalucía,Cádiz,Puerto Real,"CARRETERA NACIONAL IV, KM. 665 S/N",11510,956005147,319,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111000292,110048,HOSPITAL NUESTRA SEÑORA DE LA SALUD HLA SL,Andalucía,Cádiz,Cádiz,CALLE FEDUCHY 8-14,11001,956225301,58,Hospitales Generales,Privados,,Sin concierto,NO
0111000293,110218,HOSPITAL VIRGEN DE LAS MONTAÑAS,Andalucía,Cádiz,Villamartín,AVENIDA AMBULATORIO S/N,11650,956041000,108,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000294,110223,HOSPITAL VIRGEN DEL CAMINO,Andalucía,Cádiz,Sanlúcar de Barrameda,"CARRETERA SANLUCAR-CHIPIONA, S/N S/N",11540,956048068,118,Hospitales Generales,Privados,,Red de utilización pública (RUP),NO
0111000295,110239,HOSPITAL JEREZ PUERTA DEL SUR,Andalucía,Cádiz,Jerez de la Frontera,AVENIDA PUERTA DEL SUR S/N,11408,956357100,98,Hospitales Generales,Privados,,Sin concierto,NO
0111000297,110103,CLINICA LOS ALAMOS,Andalucía,Cádiz,Jerez de la Frontera,AVENIDA TAMARIX 4,11407,956182244,15,Hospitales Generales,Privados,,Sin concierto,NO
0111000300,110260,HOSPITAL VIAMED NOVO SANCTI PETRI,Andalucía,Cádiz,Chiclana de la Frontera,AVENIDA OCTAVIO AUGUSTO 7,11139,956495000,37,Hospitales Generales,Privados,,Concierto parcial,NO
0111000411,110248,HOSPITAL VIAMED BAHIA DE CADIZ,Andalucía,Cádiz,Chiclana de la Frontera,CALLE AYALA 2,11130,956533333,46,Hospitales Generales,Privados,,Concierto parcial,NO
0111002394,110282,HOSPITAL QUIRON CAMPO DE GIBRALTAR,Andalucía,Cádiz,"Barrios, Los",CALLE ARTTYSUR  - P. E. T. LAS MARISMAS DE PALMONES S/N,11379,956798301,77,Hospitales Generales,Privados,,Concierto parcial,NO
0111004317,110316,HOSPITAL UNIVERSITARIO DE LA LINEA DE LA CONCEPCION,Andalucía,Cádiz,"Línea de la Concepción, La","RONDA NORTE, ESQUINA C/ GABRIEL MIRO S/N",11300,956969200,158,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0111004473,110305,HOSPITAL SAN  CARLOS DE SAN FERNANDO,Andalucía,Cádiz,San Fernando,PASEO CAPITAN CONFORTO S/N,11100,956002100,66,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0111004486,110213,HOSPITAL DE ALTA RESOLUCION DE ESPECIALIDADES DE LA JANDA,Andalucía,Cádiz,Vejer de la Frontera,POLIGONO 53 PARCELA 72 S/N,11150,955018063,24,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000529,140116,HOSPITAL INFANTA  MARGARITA,Andalucía,Córdoba,Cabra,AVENIDA GONGORA S/N,14940,957021300,232,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000530,140230,HOSPITAL UNIVERSITARIO REINA SOFIA,Andalucía,Córdoba,Córdoba,AVENIDA MENENDEZ PIDAL S/N,14004,957010380,607,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000531,140060,HOSPITAL PROVINCIAL,Andalucía,Córdoba,Córdoba,AVENIDA MENENDEZ PIDAL S/N,14004,957011604,389,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000532,140039,HOSPITAL LOS MORALES,Andalucía,Córdoba,Córdoba,CARRETERA LOS MOLARES S/N,14012,957012042,19,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000533,140044,HOSPITAL MATERNO - INFANTIL DEL H.U. REINA SOFIA,Andalucía,Córdoba,Córdoba,AVENIDA MENENDEZ PIDAL S/N,14004,957010380,194,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000535,140121,HOSPITAL VALLE DE LOS PEDROCHES,Andalucía,Córdoba,Pozoblanco,CALLE JUAN DEL REY CALERO S/N,14400,957026306,142,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114000536,140082,HOSPITAL SAN JUAN DE DIOS DE CORDOBA,Andalucía,Córdoba,Córdoba,AVENIDA DEL BRILLANTE 106,14012,957274600,205,Hospitales Generales,Privados,,Concierto parcial,NO
0114000537,140076,HOSPITAL CRUZ ROJA DE CORDOBA,Andalucía,Córdoba,Córdoba,PASEO DE LA VICTORIA S/N,14004,957420666,138,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0114000873,140195,HOSPITAL DE MONTILLA,Andalucía,Córdoba,Montilla,"CARRETERA CTRA. MONTORO-PUENTE GENIL, KM. 65,350 S/N",14550,957022600,73,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114001301,140218,HOSPITAL DE ALTA RESOLUCION  DE PUENTE GENIL,Andalucía,Córdoba,Puente Genil,CALLE MIGUEL  QUINTERO MERINO S/N,14500,957615000,26,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114001599,140229,HOSPITAL DE ALTA RESOLUCION VALLE DEL GUADIATO,Andalucía,Córdoba,Peñarroya-Pueblonuevo,CALLE PARAJE CERRO DEL CAMELLO S/N,14200,957579100,17,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0114003668,140241,HOSPITAL QUIRONSALUD CORDOBA,Andalucía,Córdoba,Córdoba,"AVENIDA DEL AEROPUERTO, S/N S/N",14004,957410000,115,Hospitales Generales,Privados,,Sin concierto,NO
0114003688,140252,HOSPITAL CENTRO DE ANDALUCIA,Andalucía,Córdoba,Lucena,CALLE PONTEVEDRA 1,14900,900000000,196,Hospitales Generales,Privados,,Concierto parcial,NO
0114003703,140263,HOSPITAL PALMA DEL RIO,Andalucía,Córdoba,Córdoba,AVENIDA V CALIFA S/N,14700,000000000,20,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0118000553,180074,HOSPITAL DE LA INMACULADA CONCEPCION,Andalucía,Granada,Granada,CALLE DOCTOR ALEJANDRO OTERO 8,18004,958187712,95,Hospitales Generales,Privados,,Sin concierto,SI
0118000554,180093,HOSPITAL DE BAZA,Andalucía,Granada,Baza,"CARRETERA MURCIA, KM. 1,6 S/N",18800,958031303,117,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,NO
0118000556,180016,HOSPITAL UNIVERSITARIO VIRGEN DE LAS NIEVES,Andalucía,Granada,Granada,AVENIDA DE LAS FUERZAS ARMADAS 2,18014,958000203,844,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0118000560,180166,HOSPITAL MATERNO-INFANTIL DEL H.U. VIRGEN DE LAS NIEVES,Andalucía,Granada,Granada,AVENIDA DE LAS FUERZAS ARMADAS 2,18014,000000000,230,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0118000562,180107,HOSPITAL SANTA ANA,Andalucía,Granada,Motril,AVENIDA ENRIQUE MARTIN CUEVAS S/N,18600,958038200,184,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0118000563,180055,HOSPITAL SAN RAFAEL,Andalucía,Granada,Granada,CALLE SAN JUAN DE DIOS 19-23,18001,958275700,124,Hospitales Generales,Privados,,Concierto parcial,NO
0118001566,180122,HOSPITAL DE ALTA RESOLUCION DE  GUADIX,Andalucía,Granada,Guadix,AVENIDA MARIANA PINEDA S/N,18500,958699136,50,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0118004203,180133,HOSPITAL DE ALTA RESOLUCION DE LOJA,Andalucía,Granada,Loja,AVENIDA TIERNO GALVAN S/N,18300,958338150,18,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0118004282,180146,HOSPITAL VITHAS GRANADA,Andalucía,Granada,Granada,AVENIDA SANTA MARIA DE LA ALHAMBRA S/N,18008,958001450,77,Hospitales Generales,Privados,,Sin concierto,NO
0118004562,180150,HOSPITAL UNIVERSITARIO CLINICO SAN CECILIO,Andalucía,Granada,Granada,AVENIDA DE LA INVESTIGACION S/N,18016,958023000,543,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
